id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross
92,1990-11-16,Home Alone,15000000,285761243,476684675,1990,461684675,3077.8978333333334,190923432
64,2005-07-15,Charlie and the Chocolate Factory,150000000,206459076,475825484,2005,325825484,217.21698933333334,269366408
14,1989-05-24,Indiana Jones and the Last Crusade,48000000,197171806,474171806,1989,426171806,887.8579291666666,277000000
31,2011-08-05,Rise of the Planet of the Apes,93000000,176760185,470986200,2011,377986200,406.43677419354833,294226015
41,1975-06-20,Jaws,12000000,260000000,470700000,1975,458700000,3822.5,210700000
42,2015-09-25,Hotel Transylvania 2,80000000,169700110,469500298,2015,389500298,486.8753725,299800188
68,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2013,277381584,145.99030736842104,238602923
25,2009-06-05,The Hangover,35000000,277322503,465764086,2009,430764086,1230.7545314285715,188441583
62,2018-12-21,Bumblebee,102000000,127195589,465195589,2018,363195589,356.0741068627451,338000000
76,1999-03-31,The Matrix,65000000,171479930,463517383,1999,398517383,613.1036661538461,292037453
94,2006-06-09,Cars,70000000,244082982,461651246,2006,391651246,559.5017799999999,217568264
38,2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946,2006,249260946,118.69568857142858,224898484
44,2014-02-07,The Lego Movie,60000000,257784718,457729388,2014,397729388,662.8823133333333,199944670
40,1996-05-21,Mission: Impossible,80000000,180981886,457697994,1996,377697994,472.12249249999996,276716108
56,2000-05-05,Gladiator,103000000,187683805,457683805,2000,354683805,344.35320873786407,270000000
83,2014-07-25,Lucy,40000000,126573960,457507776,2014,417507776,1043.76944,330933816
14,2003-12-05,The Last Samurai,140000000,111110575,456810575,2003,316810575,226.29326785714287,345700000
19,2015-05-29,San Andreas,110000000,155190832,456258539,2015,346258539,314.78049,301067707
45,2007-03-09,300,60000000,210614939,454161935,2007,394161935,656.9365583333333,243546996
90,2001-12-07,Ocean's Eleven,85000000,183417150,450728529,2001,365728529,430.26885764705884,267311379
69,2012-12-25,Django Unchained,100000000,162805434,449948323,2012,349948323,349.948323,287142889
70,2011-05-06,Thor,150000000,181030624,449326618,2011,299326618,199.55107866666665,268295994
53,2001-05-25,Pearl Harbor,151500000,198539855,449239855,2001,297739855,196.52795709570955,250700000
100,1999-06-16,Tarzan,145000000,171091819,448191819,1999,303191819,209.09780620689654,277100000
40,2007-08-03,The Bourne Ultimatum,130000000,227471070,444043396,2007,314043396,241.5718430769231,216572326
95,2009-12-23,Alvin and the Chipmunks: The Squeakquel,70000000,219614612,443483213,2009,373483213,533.5474471428571,223868601
78,2012-12-25,Les Miserables,65000000,148809770,442169052,2012,377169052,580.2600799999999,293359282
9,2002-07-03,Men in Black 2,140000000,190418803,441767803,2002,301767803,215.54843071428573,251349000
61,1993-11-24,Mrs. Doubtfire,25000000,219195051,441286003,1993,416286003,1665.144012,222090952
10,2001-05-04,The Mummy Returns,98000000,202007640,435040395,2001,337040395,343.91877040816325,233032755
5,2018-10-05,A Star is Born,36000000,215288866,433449571,2018,397449571,1104.026586111111,218160705
20,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,433058296,2003,263058296,154.74017411764706,282700000
72,1990-03-23,Pretty Woman,14000000,178406268,432645872,1990,418645872,2990.327657142857,254239604
49,2015-07-01,Terminator: Genisys,155000000,89760956,432150894,2015,277150894,178.80702838709678,342389938
5,2002-11-22,Die Another Day,142000000,160942139,431942139,2002,289942139,204.18460492957746,271000000
97,2010-11-26,The Kingâs Speech,15000000,138797449,430821168,2010,415821168,2772.14112,292023719
42,1973-12-26,The Exorcist,12000000,230347346,428214478,1973,416214478,3468.4539833333333,197867132
90,2018-04-13,Rampage,120000000,101028233,428056280,2018,308056280,256.7135666666667,327028047
77,2003-11-05,The Matrix Revolutions,150000000,139270910,427300260,2003,277300260,184.86684,288029350
88,2000-12-22,Cast Away,85000000,233632142,427230516,2000,342230516,402.6241364705882,193598374
92,2016-12-09,La La Land,20000000,151101803,426351163,2016,406351163,2031.755815,275249360
46,2016-06-10,Warcraft,160000000,47225655,425522281,2016,265522281,165.951425625,378296626
25,1990-11-09,Dances with Wolves,19000000,184208842,424200000,1990,405200000,2132.631578947369,239991158
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,263186950,169.79803225806452,313800000
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,2008,192341288,85.4850168888889,275719798
8,2013-07-26,The Wolverine,115000000,132556852,416456852,2013,301456852,262.1363930434783,283900000
44,1999-05-07,The Mummy,80000000,155385488,416385488,1999,336385488,420.48186000000004,261000000
86,2016-07-29,Jason Bourne,120000000,162192920,416168316,2016,296168316,246.80692999999997,253975396
69,2008-05-30,Sex and the City,57500000,152647258,415247258,2008,357747258,622.1691443478261,262600000
62,1988-12-16,Rain Man,25000000,172825435,412800000,1988,387800000,1551.2,239974565
27,1989-06-23,Batman,35000000,251188924,411348924,1989,376348924,1075.28264,160160000
76,2019-05-10,PokÃ©mon: Detective Pikachu,150000000,139507806,411258433,2019,261258433,174.17228866666667,271750627
72,2013-07-12,Pacific Rim,190000000,101802906,411002906,2013,221002906,116.31731894736843,309200000
68,1992-11-25,The Bodyguard,25000000,121945720,410899039,1992,385899039,1543.596156,288953319
54,2017-09-22,Kingsman: The Golden Circle,104000000,100234838,408803696,2017,304803696,293.0804769230769,308568858
92,2002-08-02,Signs,70702619,227969295,408269295,2002,337566676,477.4457874042827,180300000
66,2003-05-02,X-Men 2,125000000,214949694,406875536,2003,281875536,225.50042879999998,191925842
8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,2008,230760225,131.8629857142857,303268449
29,2015-02-13,Kingsman: The Secret Service,94000000,128261724,404561724,2015,310561724,330.38481276595746,276300000
