id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross,title_std,genres,averagerating,numvotes,popularity,foreign_share
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Action,6.7,275406,2.758,74.98778663819495
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Sci-fi,6.7,275406,2.758,74.98778663819495
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Thriller,6.7,275406,2.758,74.98778663819495
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Action,6.7,275406,44.007,74.98778663819495
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Sci-fi,6.7,275406,44.007,74.98778663819495
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197,venom,Thriller,6.7,275406,44.007,74.98778663819495
82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,666980024,370.5444577777778,531921735,thor: ragnarok,Action,7.9,482995,43.45,62.80215824783135
82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,666980024,370.5444577777778,531921735,thor: ragnarok,Adventure,7.9,482995,43.45,62.80215824783135
82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,666980024,370.5444577777778,531921735,thor: ragnarok,Comedy,7.9,482995,43.45,62.80215824783135
38,2010-07-16,Inception,160000000,292576195,835524642,2010,675524642,422.20290125,542948447,inception,Action,8.8,1841066,27.92,64.98293643384847
38,2010-07-16,Inception,160000000,292576195,835524642,2010,675524642,422.20290125,542948447,inception,Adventure,8.8,1841066,27.92,64.98293643384847
38,2010-07-16,Inception,160000000,292576195,835524642,2010,675524642,422.20290125,542948447,inception,Sci-fi,8.8,1841066,27.92,64.98293643384847
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Action,7.5,487527,2.841,49.75683377956656
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Adventure,7.5,487527,2.841,49.75683377956656
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Fantasy,7.5,487527,2.841,49.75683377956656
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Action,7.5,487527,31.618,49.75683377956656
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Adventure,7.5,487527,31.618,49.75683377956656
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.422252,408569970,wonder woman,Fantasy,7.5,487527,31.618,49.75683377956656
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,622402853,345.7793627777778,568365278,fantastic beasts and where to find them,Adventure,7.3,365353,28.563,70.83290841688968
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,622402853,345.7793627777778,568365278,fantastic beasts and where to find them,Family,7.3,365353,28.563,70.83290841688968
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,622402853,345.7793627777778,568365278,fantastic beasts and where to find them,Fantasy,7.3,365353,28.563,70.83290841688968
56,2016-02-12,Deadpool,58000000,363070709,801025593,2016,743025593,1281.0786086206895,437954884,deadpool,Action,8.0,820847,35.067,54.674268566098114
56,2016-02-12,Deadpool,58000000,363070709,801025593,2016,743025593,1281.0786086206895,437954884,deadpool,Adventure,8.0,820847,35.067,54.674268566098114
56,2016-02-12,Deadpool,58000000,363070709,801025593,2016,743025593,1281.0786086206895,437954884,deadpool,Comedy,8.0,820847,35.067,54.674268566098114
2,2017-11-22,Coco,175000000,209726015,798008101,2017,623008101,356.0046291428572,588282086,coco,Adventure,8.4,277194,25.961,73.718811283095
2,2017-11-22,Coco,175000000,209726015,798008101,2017,623008101,356.0046291428572,588282086,coco,Animation,8.4,277194,25.961,73.718811283095
2,2017-11-22,Coco,175000000,209726015,798008101,2017,623008101,356.0046291428572,588282086,coco,Comedy,8.4,277194,25.961,73.718811283095
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,558241137,242.71353782608696,615682261,pirates of the caribbean: dead men tell no tales,Action,6.6,228592,28.101,78.10836457270563
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,558241137,242.71353782608696,615682261,pirates of the caribbean: dead men tell no tales,Adventure,6.6,228592,28.101,78.10836457270563
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,558241137,242.71353782608696,615682261,pirates of the caribbean: dead men tell no tales,Fantasy,6.6,228592,28.101,78.10836457270563
15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,676680557,615.1641427272727,462088822,deadpool 2,Action,7.8,391735,38.894,58.739067323866756
15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,676680557,615.1641427272727,462088822,deadpool 2,Adventure,7.8,391735,38.894,58.739067323866756
15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,676680557,615.1641427272727,462088822,deadpool 2,Comedy,7.8,391735,38.894,58.739067323866756
14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,600867516,353.45148,437695404,guardians of the galaxy,Action,8.1,948394,49.606,56.779588569406
14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,600867516,353.45148,437695404,guardians of the galaxy,Adventure,8.1,948394,49.606,56.779588569406
