title,title_clean,studio,year,genres,domestic_gross,foreign_gross,total_gross,averagerating,numvotes,release_month,worldwide_gross,main_genre
Secretariat,secretariat,BV,2010,biography,59700000,537000.0,60237000.0,7.2,24536,10.0,60376247.0,biography
Secretariat,secretariat,BV,2010,drama,59700000,537000.0,60237000.0,7.2,24536,10.0,60376247.0,biography
Secretariat,secretariat,BV,2010,family,59700000,537000.0,60237000.0,7.2,24536,10.0,60376247.0,biography
The Ghost Writer,the ghost writer,Sum.,2010,drama,15500000,44700000.0,60200000.0,7.2,148274,2.0,65532491.0,drama
The Ghost Writer,the ghost writer,Sum.,2010,mystery,15500000,44700000.0,60200000.0,7.2,148274,2.0,65532491.0,drama
The Ghost Writer,the ghost writer,Sum.,2010,thriller,15500000,44700000.0,60200000.0,7.2,148274,2.0,65532491.0,drama
Morning Glory,morning glory,Par.,2010,comedy,31000000,29000000.0,60000000.0,6.5,67367,11.0,59795070.0,comedy
Morning Glory,morning glory,Par.,2010,drama,31000000,29000000.0,60000000.0,6.5,67367,11.0,59795070.0,comedy
Morning Glory,morning glory,Par.,2010,romance,31000000,29000000.0,60000000.0,6.5,67367,11.0,59795070.0,comedy
Remember Me,remember me,Sum.,2010,drama,19100000,37000000.0,56100000.0,7.1,129443,3.0,56506120.0,drama
Remember Me,remember me,Sum.,2010,romance,19100000,37000000.0,56100000.0,7.1,129443,3.0,56506120.0,drama
Cop Out,cop out,WB,2010,action,44900000,10700000.0,55600000.0,5.6,81656,2.0,55909910.0,action
Cop Out,cop out,WB,2010,comedy,44900000,10700000.0,55600000.0,5.6,81656,2.0,55909910.0,action
Cop Out,cop out,WB,2010,crime,44900000,10700000.0,55600000.0,5.6,81656,2.0,55909910.0,action
The Crazies,the crazies,Over.,2010,horror,39100000,15700000.0,54800000.0,6.5,104465,2.0,56445534.0,horror
The Crazies,the crazies,Over.,2010,thriller,39100000,15700000.0,54800000.0,6.5,104465,2.0,56445534.0,horror
