title,worldwide_gross,averagerating,numvotes,popularity,domestic_gross,foreign_gross,total_gross
valentine's day,217569328,5.7,107171,11.187,110500000,106000000.0,216500000.0
jack reacher,217370736,7.0,284547,18.312,80100000,138300000.0,218400000.0
ted 2,217214143,6.3,165843,17.684,81500000,135200000.0,216700000.0
central intelligence,217194805,6.3,138872,14.478,127400000,89500000.0,216900000.0
the emoji movie,216562312,3.2,47294,14.88,86100000,131699999.0,217799999.0
bad teacher,215448997,5.7,181189,13.549,100300000,115900000.0,216200000.0
valerian and the city of a thousand planets,215098356,6.5,139792,24.003,41200000,184700000.0,225900000.0
just go with it,214974953,6.4,200932,19.565,103000000,111900000.0,214900000.0
smallfoot,213691277,6.7,23295,26.231,83200000,130900000.0,214100000.0
creed ii,213591522,7.2,72503,26.907,115700000,98300000.0,214000000.0
the help,213120004,8.1,392699,12.598,169700000,46900000.0,216600000.0
into the woods,213116401,6.0,123577,1.2009999999999998,128000000,85100000.0,213100000.0
into the woods,213116401,6.0,123577,13.726,128000000,85100000.0,213100000.0
horrible bosses,212417601,6.9,398695,14.058,117500000,92100000.0,209600000.0
due date,211739043,6.5,303523,12.445,100500000,111200000.0,211700000.0
immortals,211562435,6.0,152992,14.774,83500000,143400000.0,226900000.0
the expendables 3,209461378,6.1,156432,18.797,39300000,175300000.0,214600000.0
safe house,208542162,6.8,192655,13.116,126400000,81700000.0,208100000.0
me before you,208265198,7.4,174567,16.917,56200000,152100000.0,208300000.0
paranormal activity 3,207039844,5.8,85689,9.669,104000000,103000000.0,207000000.0
tomorrowland,206627518,6.4,161343,20.136,93400000,115700000.0,209100000.0
eat pray love,206598789,5.8,77709,9.991,80600000,124000000.0,204600000.0
white house down,205440387,6.4,191791,13.026,73100000,132300000.0,205400000.0
yogi bear,204774690,4.6,18934,9.096,100200000,101300000.0,201500000.0
arrival,203127894,7.9,515483,25.442,100500000,102800000.0,203300000.0
arrival,203127894,7.9,515483,25.442,100500000,102800000.0,203300000.0
21 jump street,202812429,7.2,477771,14.836,138400000,63100000.0,201500000.0
straight outta compton,202182981,7.9,165307,11.731,161200000,40400000.0,201600000.0
straight outta compton,202182981,7.9,165307,11.731,161200000,40400000.0,201600000.0
percy jackson: sea of monsters,200859554,5.8,102313,15.762,68600000,131300000.0,199900000.0
the bfg,199646680,6.4,69340,20.08,55500000,127900000.0,183400000.0
jack the giant slayer,197687603,6.3,123127,12.773,65200000,132500000.0,197700000.0
the vow,197618160,6.8,173629,13.046,125000000,71100000.0,196100000.0
smurfs: the lost village,197578586,6.0,15612,15.663,45000000,152200000.0,197200000.0
the intern,197115710,7.1,191494,14.377,75800000,118800000.0,194600000.0
red,196439693,7.1,271570,12.082,90400000,108600000.0,199000000.0
red,196439693,7.1,271570,0.6,90400000,108600000.0,199000000.0
red,196439693,8.4,8,12.082,90400000,108600000.0,199000000.0
red,196439693,8.4,8,0.6,90400000,108600000.0,199000000.0
the shape of water,195790794,7.3,308112,22.025,63900000,131400000.0,195300000.0
the shape of water,195790794,7.3,308112,22.025,63900000,131400000.0,195300000.0
london has fallen,195194085,5.9,124757,15.287,62500000,143200000.0,205700000.0
the other woman,195111193,6.0,122889,9.15,25400,427000.0,452400.0
the other woman,195111193,6.0,122889,11.894,25400,427000.0,452400.0
the other woman,195111193,6.0,122889,6.359,25400,427000.0,452400.0
need for speed,194169619,6.5,154909,13.723,43600000,159700000.0,203300000.0
the equalizer,192903624,7.2,302302,28.942,101500000,90800000.0,192300000.0
the equalizer 2,190453132,6.7,97963,22.961,102100000,88300000.0,190400000.0
hop,188657593,5.4,28893,14.738,108100000,75900000.0,184000000.0
the secret life of walter mitty,187861183,7.3,275300,10.743,58200000,129900000.0,188100000.0
pitch perfect 3,185736412,5.8,45127,14.89,104900000,80500000.0,185400000.0
pitch perfect 3,185736412,5.8,45127,14.89,104900000,80500000.0,185400000.0
storks,183353431,6.8,50448,12.101,72700000,110700000.0,183400000.0
jupiter ascending,181982519,5.3,166327,24.058000000000003,47400000,136600000.0,184000000.0
12 years a slave,181025343,8.1,577301,16.493,56700000,131100000.0,187800000.0
bad moms,180998716,6.2,100952,14.332,113300000,70700000.0,184000000.0
the dictator,180148897,6.4,250976,12.592,59700000,119700000.0,179400000.0
hugo,180047784,7.5,284869,12.936,73900000,111900000.0,185800000.0
the post,179748880,7.2,108017,15.550999999999998,81900000,97900000.0,179800000.0
the post,179748880,7.2,108017,15.550999999999998,81900000,97900000.0,179800000.0
paranormal activity 2,177512032,5.7,93122,8.163,84800000,92800000.0,177600000.0
the a-team,177241171,6.8,235256,17.097,77200000,100000000.0,177200000.0
baywatch,175863783,5.6,137528,14.429,58100000,119800000.0,177900000.0
the descendants,175507800,7.3,223464,10.444,82600000,94700000.0,177300000.0
